symbol,entry_time,exit_time,entry_price,exit_price,quantity,pnl,pnl_pct,regime,models_fired,score,exit_reason,duration_bars
BTC/USDT,2024-03-09 18:00:00+00:00,2024-03-10 19:00:00+00:00,68578.89047949,69233.97357876,0.05832699,-44.2377,-1.11,bear_trend,trend,0.4623,stop_loss,25
BTC/USDT,2024-03-11 00:00:00+00:00,2024-03-11 20:00:00+00:00,67777.37688238,68379.94341168,0.05898886,-41.5685,-1.04,bear_trend,trend,0.6402,stop_loss,20
BTC/USDT,2024-03-12 11:00:00+00:00,2024-03-12 13:00:00+00:00,67449.35894556,67963.58578487,0.05924934,-36.4849,-0.91,bear_trend,trend,0.6017,stop_loss,2
BTC/USDT,2024-03-12 13:00:00+00:00,2024-03-12 22:00:00+00:00,67686.1686481,68414.37161674,0.0590187,36.9532,0.93,bear_trend,liquidity_sweep,0.693,take_profit,9
BTC/USDT,2024-03-13 01:00:00+00:00,2024-03-13 03:00:00+00:00,68728.67154779,68082.36987808,0.05814327,-43.5441,-1.09,bull_trend,trend,0.541,stop_loss,2
BTC/USDT,2024-03-13 03:00:00+00:00,2024-03-13 07:00:00+00:00,68158.84969099,67472.50756884,0.05860207,-46.1823,-1.16,bull_trend,trend,0.518,stop_loss,4
BTC/USDT,2024-03-13 09:00:00+00:00,2024-03-14 08:00:00+00:00,67216.42089929,66131.58520227,0.05939442,58.4931,1.47,bear_trend,trend,0.6618,take_profit,23
BTC/USDT,2024-03-14 20:00:00+00:00,2024-03-18 02:00:00+00:00,65191.57073039,64686.19431213,0.06127326,-36.9346,-0.92,volatility_expansion,liquidity_sweep,0.5058,stop_loss,78
BTC/USDT,2024-03-18 08:00:00+00:00,2024-03-18 10:00:00+00:00,64729.54039237,65300.39647467,0.0616859,-41.2295,-1.03,bear_trend,trend,0.6358,stop_loss,2
BTC/USDT,2024-03-19 18:00:00+00:00,2024-03-20 21:00:00+00:00,66280.48886893,67532.75208731,0.06021576,-81.4492,-2.04,ranging,mean_reversion,1.0,stop_loss,27
BTC/USDT,2024-03-20 21:00:00+00:00,2024-03-21 05:00:00+00:00,67337.90249696,66624.63412245,0.05921999,36.2898,0.91,ranging,mean_reversion,0.5701,take_profit,8
BTC/USDT,2024-03-21 06:00:00+00:00,2024-03-21 15:00:00+00:00,67543.67905249,66843.46318562,0.05905941,-47.307,-1.19,bull_trend,trend,0.6562,stop_loss,9
BTC/USDT,2024-03-21 15:00:00+00:00,2024-03-21 18:00:00+00:00,67028.32194078,68312.39354382,0.05948336,70.343,1.76,bull_trend,trend,0.524,take_profit,3
