symbol,direction,entry_ts,exit_ts,entry_px,exit_px,pnl,pnl_pct,exit_reason,regime,score,duration_bars
BTC,long,2022-03-27 21:30:00+00:00,2022-03-28 00:30:00+00:00,46466.291535,47551.07105733134,75.6894,0.757,partial_close,volatility_expansion,0.536458327345457,6
ETH,long,2022-03-27 22:00:00+00:00,2022-03-28 10:30:00+00:00,3278.81859,3354.2885741162677,74.6042,0.746,partial_close,volatility_expansion,0.6689428808711307,25
ETH,long,2022-03-27 22:00:00+00:00,2022-03-28 13:30:00+00:00,3278.81859,3373.2133083209387,190.1232,1.901,take_profit,volatility_expansion,0.6689428808711307,31
BTC,long,2022-03-27 21:30:00+00:00,2022-03-28 15:00:00+00:00,46466.291535,47823.331177925196,192.914,1.929,take_profit,volatility_expansion,0.536458327345457,35
BTC,long,2022-03-28 16:00:00+00:00,2022-03-28 18:30:00+00:00,47446.221255,47911.617788304946,31.1996,0.31,partial_close,bull_trend,0.45250725685242954,5
BTC,long,2022-03-28 16:00:00+00:00,2022-03-28 19:30:00+00:00,47446.221255,48148.78219902975,96.9976,0.965,take_profit,bull_trend,0.45250725685242954,7
BTC,short,2022-04-01 05:30:00+00:00,2022-04-01 08:00:00+00:00,44704.316660000004,45251.06442352454,-127.1727,-1.264,stop_loss,bear_trend,0.5292656318089041,5
ETH,short,2022-04-06 15:00:00+00:00,2022-04-06 16:30:00+00:00,3255.75131,3203.4543668344377,51.9769,0.517,partial_close,bear_trend,0.4898669808375037,3
ETH,short,2022-04-06 15:00:00+00:00,2022-04-06 18:00:00+00:00,3255.75131,3257.379185655,-6.0626,-0.06,stop_loss,bear_trend,0.4898669808375037,6
ETH,short,2022-04-06 19:00:00+00:00,2022-04-06 23:30:00+00:00,3236.371005,3164.8980701493906,71.9854,0.716,partial_close,bear_trend,0.5015884931584275,9
SOL,short,2022-04-06 16:00:00+00:00,2022-04-06 23:30:00+00:00,117.571185,113.60193367807182,110.7003,1.101,partial_close,bear_trend,0.45819003904153277,15
XRP,short,2022-04-06 19:00:00+00:00,2022-04-06 23:30:00+00:00,0.7748124000000001,0.7570796719518522,74.6455,0.742,partial_close,bear_trend,0.4778672578449501,9
SOL,short,2022-04-06 16:00:00+00:00,2022-04-07 00:30:00+00:00,117.571185,111.51249173121012,344.4859,3.427,take_profit,bear_trend,0.45819003904153277,17
XRP,short,2022-04-06 19:00:00+00:00,2022-04-07 04:30:00+00:00,0.7748124000000001,0.7751998062000001,-6.0646,-0.06,stop_loss,bear_trend,0.4778672578449501,19
ETH,short,2022-04-06 19:00:00+00:00,2022-04-07 11:00:00+00:00,3236.371005,3237.9891905024997,-6.0649,-0.06,stop_loss,bear_trend,0.5015884931584275,32
BTC,short,2022-04-07 01:30:00+00:00,2022-04-07 12:00:00+00:00,43169.30455,43921.27389926871,-180.3103,-1.783,stop_loss,bear_trend,0.5054793076597108,21
XRP,short,2022-04-11 11:00:00+00:00,2022-04-11 11:00:00+00:00,0.7202397,0.7082226177040283,54.2746,0.538,partial_close,bear_trend,0.4523876247154003,0
XRP,short,2022-04-11 11:00:00+00:00,2022-04-11 11:00:00+00:00,0.7202397,0.72059981985,-6.0888,-0.06,stop_loss,bear_trend,0.4523876247154003,0
BTC,short,2022-04-11 14:00:00+00:00,2022-04-11 15:30:00+00:00,41120.559435,40613.73501344567,39.761,0.394,partial_close,bear_trend,0.4626948191108823,3
BTC,short,2022-04-11 14:00:00+00:00,2022-04-11 17:00:00+00:00,41120.559435,40353.044023049864,123.6419,1.224,take_profit,bear_trend,0.4626948191108823,6
XRP,short,2022-04-11 12:30:00+00:00,2022-04-11 20:00:00+00:00,0.7120438000000001,0.6988096442547923,60.6378,0.6,partial_close,bear_trend,0.501600832290289,15
ETH,short,2022-04-11 17:00:00+00:00,2022-04-11 21:30:00+00:00,3018.1601650000002,2967.0794404200824,55.182,0.546,partial_close,bear_trend,0.55,9
XRP,short,2022-04-11 12:30:00+00:00,2022-04-11 21:30:00+00:00,0.7120438000000001,0.6918178776106815,189.5853,1.877,take_profit,bear_trend,0.501600832290289,18
BNB,short,2022-04-11 17:00:00+00:00,2022-04-11 21:30:00+00:00,400.1998,394.3357568639908,47.5941,0.471,partial_close,bear_trend,0.4612435756439054,9
BNB,short,2022-04-11 17:00:00+00:00,2022-04-11 22:00:00+00:00,400.1998,391.40189734478594,146.3323,1.447,take_profit,bear_trend,0.4612435756439054,10
ETH,short,2022-04-11 17:00:00+00:00,2022-04-12 05:30:00+00:00,3018.1601650000002,3019.6692450825,-6.1009,-0.06,stop_loss,bear_trend,0.55,25
XRP,short,2022-04-11 22:30:00+00:00,2022-04-12 05:30:00+00:00,0.6942527000000001,0.7091044038097726,-221.5848,-2.18,stop_loss,bear_trend,0.55,14
BTC,short,2022-04-11 22:30:00+00:00,2022-04-12 12:30:00+00:00,39785.267415,40541.57070398182,-197.3649,-1.942,stop_loss,bear_trend,0.55,28
XRP,long,2022-04-15 04:30:00+00:00,2022-04-17 18:00:00+00:00,0.7918957499999999,0.7577921419027743,-439.7471,-4.345,stop_loss,volatility_expansion,0.7378942811926116,123
XRP,short,2022-04-25 11:30:00+00:00,2022-04-25 12:00:00+00:00,0.6548724,0.6667905138078954,-187.4917,-1.861,stop_loss,bear_trend,0.5254026706526836,1
ETH,long,2022-04-26 02:00:00+00:00,2022-04-26 13:00:00+00:00,3004.40145,2963.956762263246,-139.362,-1.386,stop_loss,bull_trend,0.48477336825463546,22
BNB,short,2022-04-26 18:00:00+00:00,2022-04-26 19:30:00+00:00,390.2048,385.4356616648361,39.1979,0.39,partial_close,bear_trend,0.462004886467294,3
BNB,short,2022-04-26 18:00:00+00:00,2022-04-26 20:00:00+00:00,390.2048,382.98336420608206,121.8897,1.214,take_profit,bear_trend,0.462004886467294,4
XRP,short,2022-04-26 21:30:00+00:00,2022-04-26 23:00:00+00:00,0.6506745,0.6386925648288914,59.8183,0.595,partial_close,bear_trend,0.5471104692038531,3
XRP,short,2022-04-26 21:30:00+00:00,2022-04-26 23:00:00+00:00,0.6506745,0.6323542989543001,187.1202,1.86,take_profit,bear_trend,0.5471104692038531,3
BNB,short,2022-04-26 21:00:00+00:00,2022-04-27 05:00:00+00:00,385.0074,390.82797425603803,-156.1563,-1.552,stop_loss,bear_trend,0.55,16
SOL,short,2022-04-27 00:00:00+00:00,2022-04-27 05:30:00+00:00,95.65215,97.68659168520331,-218.5635,-2.168,stop_loss,bear_trend,0.4511035001486722,11
BTC,short,2022-04-26 21:30:00+00:00,2022-04-27 07:30:00+00:00,38313.733550000004,39032.181554648996,-192.7136,-1.916,stop_loss,bear_trend,0.5288099301568485,20
SOL,short,2022-05-01 02:00:00+00:00,2022-05-01 05:00:00+00:00,86.506725,89.0788728913426,-302.2159,-3.015,stop_loss,bear_trend,0.46542231461473593,6
SOL,long,2022-05-05 05:00:00+00:00,2022-05-05 08:30:00+00:00,94.08702,92.47147156263813,-175.5453,-1.756,stop_loss,bull_trend,0.4519744219551357,7
