symbol,model,direction,entry_ts,exit_ts,entry_price,exit_price,pnl
BTC/USDT,pbl,long,2022-03-26 16:30:00+00:00,2022-03-26 20:00:00+00:00,44247.81,44637.49016756069,308.2368565726573
BTC/USDT,pbl,long,2022-03-27 10:30:00+00:00,2022-03-27 16:30:00+00:00,44579.46,44949.95162786488,291.7751064377339
ETH/USDT,pbl,long,2022-03-25 16:30:00+00:00,2022-03-27 20:30:00+00:00,3127.13,3193.9293206941275,747.6427984428076
SOL/USDT,pbl,long,2022-03-29 01:30:00+00:00,2022-03-29 11:30:00+00:00,108.65,113.4986359082956,1582.966013200868
ETH/USDT,pbl,long,2022-03-29 21:30:00+00:00,2022-03-30 01:30:00+00:00,3399.6,3336.0600787217354,-673.3354628193156
SOL/USDT,pbl,long,2022-03-29 17:00:00+00:00,2022-03-30 13:00:00+00:00,110.89,115.60750970514674,1532.6149414863662
ETH/USDT,pbl,long,2022-03-30 10:30:00+00:00,2022-03-31 14:00:00+00:00,3394.51,3343.581216980582,-536.9681289878076
BTC/USDT,slc,short,2022-03-31 23:30:00+00:00,2022-04-01 02:00:00+00:00,45674.49,44791.42724110815,698.6960705392739
SOL/USDT,pbl,long,2022-03-31 18:30:00+00:00,2022-04-01 02:30:00+00:00,123.71,117.66250217229769,-1766.6127148494832
BTC/USDT,slc,short,2022-04-01 02:30:00+00:00,2022-04-01 13:00:00+00:00,44641.58,45420.74704049079,-635.0243175348872
BTC/USDT,pbl,long,2022-04-02 16:30:00+00:00,2022-04-02 18:00:00+00:00,46347.86,45762.826939177154,-448.6406870719216
ETH/USDT,pbl,long,2022-04-04 02:30:00+00:00,2022-04-04 15:00:00+00:00,3488.03,3427.4440302009584,-614.6343862555848
SOL/USDT,slc,short,2022-04-06 03:30:00+00:00,2022-04-06 13:30:00+00:00,123.81,118.79916151474406,1423.41447768996
BTC/USDT,slc,short,2022-04-06 11:30:00+00:00,2022-04-06 13:30:00+00:00,44716.0,44151.43323332477,444.0471227009154
ETH/USDT,slc,short,2022-04-06 11:30:00+00:00,2022-04-06 14:00:00+00:00,3287.98,3235.866314157321,557.4415305967635
BTC/USDT,slc,short,2022-04-06 14:00:00+00:00,2022-04-06 17:00:00+00:00,44165.9,43426.970134856565,599.3627561297899
SOL/USDT,slc,short,2022-04-06 14:00:00+00:00,2022-04-06 23:30:00+00:00,119.1,114.05325516234797,1518.0050063257931
BTC/USDT,slc,short,2022-04-06 19:30:00+00:00,2022-04-07 00:30:00+00:00,43668.87,42784.52381914063,733.6768630766875
SOL/USDT,slc,short,2022-04-07 00:00:00+00:00,2022-04-08 00:00:00+00:00,112.94,120.16483431784327,-2351.566852595015
ETH/USDT,slc,short,2022-04-07 00:00:00+00:00,2022-04-08 07:30:00+00:00,3168.52,3280.1258133318647,-1294.8145918174323
SOL/USDT,slc,short,2022-04-08 19:30:00+00:00,2022-04-08 23:00:00+00:00,114.42,108.94381367909983,1710.5639406524308
BTC/USDT,slc,short,2022-04-09 02:30:00+00:00,2022-04-10 17:00:00+00:00,42371.97,43101.297989132865,-625.4922480874957
SOL/USDT,slc,short,2022-04-08 23:30:00+00:00,2022-04-10 18:00:00+00:00,108.14,115.56355436248015,-2494.613309935659
ETH/USDT,slc,short,2022-04-11 08:30:00+00:00,2022-04-11 09:30:00+00:00,3161.85,3110.4849365320065,572.6023834802028
BTC/USDT,slc,short,2022-04-11 02:30:00+00:00,2022-04-11 10:00:00+00:00,42006.06,41279.65006329029,609.5318632519967
ETH/USDT,slc,short,2022-04-11 10:00:00+00:00,2022-04-11 13:30:00+00:00,3080.81,3021.3717267797206,683.8961976764421
ETH/USDT,slc,short,2022-04-11 14:00:00+00:00,2022-04-11 16:30:00+00:00,3047.92,2982.659491840785,768.6825476982203
BTC/USDT,slc,short,2022-04-11 11:30:00+00:00,2022-04-11 17:00:00+00:00,41156.51,40364.077711427155,686.6231380460133
BTC/USDT,slc,short,2022-04-11 17:30:00+00:00,2022-04-11 20:00:00+00:00,40494.51,39673.268225179614,738.4030793462193
SOL/USDT,slc,short,2022-04-11 14:00:00+00:00,2022-04-11 21:30:00+00:00,103.07,99.19075409676728,1351.1860958544823
ETH/USDT,slc,short,2022-04-11 20:30:00+00:00,2022-04-13 13:30:00+00:00,3008.59,3086.5180368333686,-949.7758548488547
BTC/USDT,slc,short,2022-04-11 20:30:00+00:00,2022-04-13 14:00:00+00:00,40097.39,40942.93334150893,-773.2326181357607
SOL/USDT,slc,short,2022-04-18 08:30:00+00:00,2022-04-18 14:00:00+00:00,96.2,99.13143586780012,-1113.4010946991957
BTC/USDT,pbl,long,2022-04-21 17:30:00+00:00,2022-04-21 19:30:00+00:00,41924.94,41280.16720948226,-555.9347345865369
BTC/USDT,slc,short,2022-04-22 08:30:00+00:00,2022-04-22 15:00:00+00:00,40465.93,39717.03320065568,665.3926561000793
SOL/USDT,slc,short,2022-04-22 09:30:00+00:00,2022-04-25 00:00:00+00:00,101.48,98.09045933230274,1200.8975121180574
ETH/USDT,slc,short,2022-04-22 15:30:00+00:00,2022-04-25 00:00:00+00:00,2970.81,2888.814262761453,998.7711260676966
BTC/USDT,slc,short,2022-04-22 15:30:00+00:00,2022-04-25 06:30:00+00:00,39797.99,38657.41146330471,1037.083290527472
ETH/USDT,slc,short,2022-04-25 05:30:00+00:00,2022-04-25 07:00:00+00:00,2866.99,2804.93172570309,799.9556799049053
BTC/USDT,slc,short,2022-04-25 07:00:00+00:00,2022-04-25 14:30:00+00:00,38636.35,39365.71116530823,-704.5043487383939
SOL/USDT,slc,short,2022-04-25 07:00:00+00:00,2022-04-25 16:30:00+00:00,95.77,98.53876425800622,-1078.9308889442884
ETH/USDT,slc,short,2022-04-26 19:30:00+00:00,2022-04-26 23:00:00+00:00,2824.54,2772.5258120041276,680.9056224277917
SOL/USDT,slc,short,2022-04-26 23:30:00+00:00,2022-04-27 07:30:00+00:00,94.93,99.02311252341516,-1604.5497953632407
ETH/USDT,slc,short,2022-04-26 23:30:00+00:00,2022-04-27 08:00:00+00:00,2786.76,2898.347610024147,-1490.1136881432337
BTC/USDT,slc,short,2022-04-26 19:30:00+00:00,2022-04-27 13:30:00+00:00,38122.83,39346.792860490015,-1187.123587180133
ETH/USDT,slc,short,2022-04-27 14:30:00+00:00,2022-04-28 07:30:00+00:00,2830.0,2934.695660271157,-1321.2772446415286
SOL/USDT,slc,short,2022-04-29 19:30:00+00:00,2022-04-30 17:30:00+00:00,93.49,90.45243854728513,1145.3851737264506
SOL/USDT,slc,short,2022-04-30 18:00:00+00:00,2022-04-30 22:00:00+00:00,90.54,88.48493975835824,809.2571348484124
ETH/USDT,slc,short,2022-04-29 19:30:00+00:00,2022-04-30 23:00:00+00:00,2788.89,2727.2514275203307,779.1352100745681
BTC/USDT,slc,short,2022-04-30 22:30:00+00:00,2022-04-30 23:00:00+00:00,38318.43,37828.89537247952,459.10781567565914
