symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,exit_type,size_usd,gross_pnl,entry_fee,exit_fee,net_pnl
BTC,PBL,1,2022-03-27 10:30:00+00:00,2022-03-27 16:30:00+00:00,44579.46,44949.95162786488,TP,35000.0,290.8785,0.0,0.0,290.8785
BTC,SLC,-1,2022-04-01 00:00:00+00:00,2022-04-01 02:00:00+00:00,45510.35,44791.42724110815,TP,35101.80747907993,554.5,0.0,0.0,554.5
BTC,SLC,-1,2022-04-01 03:00:00+00:00,2022-04-01 13:00:00+00:00,44392.71,45420.74704049079,SL,35295.88247292711,-817.3746,0.0,0.0,-817.3746
BTC,SLC,-1,2022-04-01 02:00:00+00:00,2022-04-01 14:30:00+00:00,44923.77,45867.611812836236,SL,35295.88247292711,-741.5613,0.0,0.0,-741.5613
SOL,SLC,-1,2022-04-06 04:00:00+00:00,2022-04-06 13:30:00+00:00,123.7,118.79916151474406,TP,34750.2548969548,1376.7614,0.0,0.0,1376.7614
SOL,SLC,-1,2022-04-06 11:00:00+00:00,2022-04-06 14:00:00+00:00,122.11,117.55924085820791,TP,34750.2548969548,1295.0622,0.0,0.0,1295.0622
BTC,SLC,-1,2022-04-06 14:00:00+00:00,2022-04-06 17:00:00+00:00,44165.9,43426.970134856565,TP,35685.39314630228,597.0444,0.0,0.0,597.0444
SOL,SLC,-1,2022-04-06 14:00:00+00:00,2022-04-06 23:30:00+00:00,119.1,114.05325516234797,TP,35685.39314630228,1512.1333,0.0,0.0,1512.1333
BTC,SLC,-1,2022-04-06 17:00:00+00:00,2022-04-07 00:30:00+00:00,43781.3,42919.20816555389,TP,35894.358682175334,706.7911,0.0,0.0,706.7911
BTC,SLC,-1,2022-04-07 00:00:00+00:00,2022-04-08 22:00:00+00:00,43170.47,42267.4402881215,TP,36423.605330153834,761.9004,0.0,0.0,761.9004
BTC,SLC,-1,2022-04-07 01:00:00+00:00,2022-04-10 22:30:00+00:00,42894.3,41936.95241039854,TP,36670.982217841134,818.4509,0.0,0.0,818.4509
SOL,SLC,-1,2022-04-08 22:00:00+00:00,2022-04-11 09:00:00+00:00,111.8,107.28680873350955,TP,36937.64735350917,1491.1151,0.0,0.0,1491.1151
ETH,SLC,-1,2022-04-11 09:00:00+00:00,2022-04-11 09:30:00+00:00,3161.12,3110.4849365320065,TP,37745.99543483185,604.6183,0.0,0.0,604.6183
BTC,SLC,-1,2022-04-11 03:00:00+00:00,2022-04-11 10:00:00+00:00,41929.33,41279.65006329029,TP,37224.10515214673,576.7742,0.0,0.0,576.7742
BTC,SLC,-1,2022-04-11 10:00:00+00:00,2022-04-11 13:30:00+00:00,41416.22,40770.685629820844,TP,38159.48278346153,594.7732,0.0,0.0,594.7732
ETH,SLC,-1,2022-04-11 10:00:00+00:00,2022-04-11 13:30:00+00:00,3080.81,3021.3717267797206,TP,38159.48278346153,736.2135,0.0,0.0,736.2135
ETH,SLC,-1,2022-04-11 14:00:00+00:00,2022-04-11 16:30:00+00:00,3047.92,2982.659491840785,TP,38625.328111361356,827.0258,0.0,0.0,827.0258
BTC,SLC,-1,2022-04-11 18:00:00+00:00,2022-04-11 20:00:00+00:00,40459.07,39673.268225179614,TP,38914.787148713825,755.8085,0.0,0.0,755.8085
SOL,SLC,-1,2022-04-11 14:00:00+00:00,2022-04-11 21:30:00+00:00,103.07,99.19075409676728,TP,38625.328111361356,1453.7416,0.0,0.0,1453.7416
BTC,SLC,-1,2022-04-11 22:00:00+00:00,2022-04-12 12:30:00+00:00,39395.29,40535.48131711543,SL,39688.12967901352,-1148.6668,0.0,0.0,-1148.6668
BTC,SLC,-1,2022-04-12 19:00:00+00:00,2022-04-13 14:00:00+00:00,39667.85,40670.33461065675,SL,39286.09630653684,-992.8369,0.0,0.0,-992.8369
BTC,SLC,-1,2022-04-11 20:00:00+00:00,2022-04-13 15:00:00+00:00,39985.34,41026.978213932685,SL,39179.32012198474,-1020.641,0.0,0.0,-1020.641
