symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,exit_type,size_usd,gross_pnl,entry_fee,exit_fee,net_pnl
SOL,SLC,-1,2022-03-25 17:00:00+00:00,2022-03-26 16:00:00+00:00,98.25,102.51845072842443,SL,19996.4,-868.7394,17.996760000000002,17.9968,-904.7329
SOL,SLC,-1,2022-03-25 18:00:00+00:00,2022-03-26 16:00:00+00:00,97.88,102.17213281925126,SL,19992.800648,-876.7037,17.9935205832,17.9935,-912.6907
BTC,PBL,1,2022-03-27 10:30:00+00:00,2022-03-27 16:30:00+00:00,44579.46,44949.95162786488,TP,19632.91526829389,163.1655,17.669623741464502,17.6696,127.8263
ETH,PBL,1,2022-03-25 16:30:00+00:00,2022-03-27 20:30:00+00:00,3127.13,3193.9293206941275,TP,20000.0,427.2245,18.0,18.0,391.2245
SOL,PBL,1,2022-03-27 16:00:00+00:00,2022-03-27 20:30:00+00:00,101.45,103.59336240878385,TP,19629.381343545596,414.7154,17.666443209191037,17.6664,379.3825
SOL,SLC,-1,2022-03-29 00:00:00+00:00,2022-03-29 04:30:00+00:00,105.75,111.28291913510135,SL,19816.20191808585,-1036.7985,17.834581726277264,17.8346,-1072.4677
SOL,PBL,1,2022-03-29 03:30:00+00:00,2022-03-29 12:00:00+00:00,109.22,113.68802140193749,TP,19812.635001740597,810.5043,17.831371501566537,17.8314,774.8415
BTC,PBL,1,2022-03-30 06:00:00+00:00,2022-03-30 19:30:00+00:00,47484.99,46866.95485070191,SL,19749.56492620134,-257.0481,17.774608433581204,17.7746,-292.5973
XRP,SLC,-1,2022-03-30 02:00:00+00:00,2022-03-31 14:00:00+00:00,0.8498,0.8272414259157511,TP,19756.676689693304,524.4557,17.781009020723975,17.781,488.8937
BTC,PBL,1,2022-03-30 04:00:00+00:00,2022-03-31 14:00:00+00:00,47435.46,46786.29311524683,SL,19753.12048788916,-270.3267,17.77780843910024,17.7778,-305.8823
BTC,SLC,-1,2022-04-01 00:00:00+00:00,2022-04-01 02:00:00+00:00,45510.35,44791.42724110815,TP,19731.207246306156,311.692,17.75808652167554,17.7581,276.1759
SOL,PBL,1,2022-03-31 18:30:00+00:00,2022-04-01 02:30:00+00:00,123.71,117.66250217229769,SL,19734.7595030167,-964.7233,17.761283552715028,17.7613,-1000.2458
BTC,SLC,-1,2022-04-01 03:00:00+00:00,2022-04-01 13:00:00+00:00,44392.71,45420.74704049079,SL,19582.82303213093,-453.4949,17.624540728917836,17.6245,-488.744
BNB,SLC,-1,2022-04-01 02:00:00+00:00,2022-04-01 14:00:00+00:00,423.0,435.9303065092566,SL,19782.88086057675,-604.7251,17.804592774519076,17.8046,-640.3343
BTC,SLC,-1,2022-04-01 02:00:00+00:00,2022-04-01 14:30:00+00:00,44923.77,45867.611812836236,SL,19786.44242021239,-415.7103,17.80779817819115,17.8078,-451.3258
BNB,SLC,-1,2022-04-03 02:00:00+00:00,2022-04-03 12:30:00+00:00,435.1,446.0350330760255,SL,19266.92672334019,-484.2208,17.34023405100617,17.3402,-518.9013
