symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,exit_type,size_usd,gross_pnl,entry_fee,exit_fee,net_pnl
BTC,MR,-1,2022-03-24 16:30:00+00:00,2022-03-25 11:30:00+00:00,43939.98,44505.63089064169,SL,20000.0,-257.4652,0.0,0.0,-257.4652
BTC,MR,-1,2022-03-25 13:30:00+00:00,2022-03-25 15:30:00+00:00,44829.77,44213.9795,TP,19948.506950559226,274.0166,0.0,0.0,274.0166
BTC,PBL,1,2022-03-27 10:30:00+00:00,2022-03-27 16:30:00+00:00,44579.46,44949.95162786488,TP,20003.310270180707,166.2438,0.0,0.0,166.2438
BTC,SLC,-1,2022-04-01 00:00:00+00:00,2022-04-01 02:00:00+00:00,45510.35,44791.42724110815,TP,20036.55903086415,316.5157,0.0,0.0,316.5157
BTC,SLC,-1,2022-04-01 03:00:00+00:00,2022-04-01 13:00:00+00:00,44392.71,45420.74704049079,SL,20099.862162117453,-465.4684,0.0,0.0,-465.4684
ETH,SLC,-1,2022-04-01 03:00:00+00:00,2022-04-01 13:00:00+00:00,3225.93,3315.0031488425043,SL,20099.862162117453,-554.9897,0.0,0.0,-554.9897
BTC,SLC,-1,2022-04-01 02:00:00+00:00,2022-04-01 14:30:00+00:00,44923.77,45867.611812836236,SL,20099.862162117453,-422.2952,0.0,0.0,-422.2952
BTC,MR,-1,2022-04-01 16:30:00+00:00,2022-04-02 00:30:00+00:00,46501.9,47127.24447394513,SL,19811.311509779804,-266.4169,0.0,0.0,-266.4169
SOL,SLC,-1,2022-04-06 04:00:00+00:00,2022-04-06 13:30:00+00:00,123.7,118.79916151474406,TP,19758.0281206097,782.7882,0.0,0.0,782.7882
BTC,SLC,-1,2022-04-06 12:00:00+00:00,2022-04-06 13:30:00+00:00,44819.19,44151.43323332477,TP,19758.0281206097,294.3729,0.0,0.0,294.3729
SOL,SLC,-1,2022-04-06 11:00:00+00:00,2022-04-06 14:00:00+00:00,122.11,117.55924085820791,TP,19758.0281206097,736.3363,0.0,0.0,736.3363
SOL,SLC,-1,2022-04-06 12:00:00+00:00,2022-04-06 14:00:00+00:00,121.62,116.92643793976448,TP,19758.0281206097,762.5023,0.0,0.0,762.5023
BTC,SLC,-1,2022-04-06 14:00:00+00:00,2022-04-06 17:00:00+00:00,44165.9,43426.970134856565,TP,20273.228081436322,339.1869,0.0,0.0,339.1869
ETH,SLC,-1,2022-04-06 14:00:00+00:00,2022-04-06 17:00:00+00:00,3253.7,3179.1993219009555,TP,20273.228081436322,464.2005,0.0,0.0,464.2005
SOL,SLC,-1,2022-04-06 14:00:00+00:00,2022-04-06 23:30:00+00:00,119.1,114.05325516234797,TP,20273.228081436322,859.058,0.0,0.0,859.058
SOL,SLC,-1,2022-04-06 15:00:00+00:00,2022-04-06 23:30:00+00:00,117.61,112.52873693646595,TP,20273.228081436326,875.8915,0.0,0.0,875.8915
BTC,SLC,-1,2022-04-06 17:00:00+00:00,2022-04-07 00:30:00+00:00,43781.3,42919.20816555389,TP,20433.90556129725,402.3614,0.0,0.0,402.3614
SOL,SLC,-1,2022-04-07 00:00:00+00:00,2022-04-08 00:00:00+00:00,112.94,120.16483431784327,SL,20780.89547330182,-1329.3654,0.0,0.0,-1329.3654
SOL,SLC,-1,2022-04-06 17:00:00+00:00,2022-04-08 22:00:00+00:00,116.18,110.83462521562626,TP,20433.90556129725,940.1522,0.0,0.0,940.1522
BTC,SLC,-1,2022-04-07 00:00:00+00:00,2022-04-08 22:00:00+00:00,43170.47,42267.4402881215,TP,20780.89547330182,434.6899,0.0,0.0,434.6899
SOL,SLC,-1,2022-04-09 00:00:00+00:00,2022-04-10 18:00:00+00:00,109.92,115.56355436248015,SL,20870.46308257697,-1071.5392,0.0,0.0,-1071.5392
BTC,SLC,-1,2022-04-07 01:00:00+00:00,2022-04-10 22:30:00+00:00,42894.3,41936.95241039854,TP,20861.367744021227,465.5999,0.0,0.0,465.5999
SOL,SLC,-1,2022-04-08 22:00:00+00:00,2022-04-11 09:00:00+00:00,111.8,107.28680873350955,TP,20870.46308257697,842.508,0.0,0.0,842.508
SOL,SLC,-1,2022-04-08 23:00:00+00:00,2022-04-11 09:30:00+00:00,110.55,106.09632239540173,TP,20870.46308257697,840.7989,0.0,0.0,840.7989
ETH,SLC,-1,2022-04-11 09:00:00+00:00,2022-04-11 09:30:00+00:00,3161.12,3110.4849365320065,TP,20917.776802521734,335.0626,0.0,0.0,335.0626
BTC,SLC,-1,2022-04-11 03:00:00+00:00,2022-04-11 10:00:00+00:00,41929.33,41279.65006329029,TP,20749.275207330502,321.5026,0.0,0.0,321.5026
BTC,SLC,-1,2022-04-11 10:00:00+00:00,2022-04-11 13:30:00+00:00,41416.22,40770.685629820844,TP,21217.24960253729,330.7029,0.0,0.0,330.7029
ETH,SLC,-1,2022-04-11 10:00:00+00:00,2022-04-11 13:30:00+00:00,3080.81,3021.3717267797206,TP,21217.24960253729,409.3458,0.0,0.0,409.3458
ETH,SLC,-1,2022-04-11 11:00:00+00:00,2022-04-11 13:30:00+00:00,3078.04,3018.218746295455,TP,21217.24960253729,412.3541,0.0,0.0,412.3541
ETH,SLC,-1,2022-04-11 14:00:00+00:00,2022-04-11 16:30:00+00:00,3047.92,2982.659491840785,TP,21447.730168199007,459.2279,0.0,0.0,459.2279
BTC,SLC,-1,2022-04-11 12:00:00+00:00,2022-04-11 17:00:00+00:00,41067.64,40364.077711427155,TP,21217.24960253729,363.4895,0.0,0.0,363.4895
BTC,SLC,-1,2022-04-11 15:00:00+00:00,2022-04-11 19:00:00+00:00,40803.86,40061.54793804864,TP,21447.730168199007,390.1814,0.0,0.0,390.1814
BTC,SLC,-1,2022-04-11 18:00:00+00:00,2022-04-11 20:00:00+00:00,40459.07,39673.268225179614,TP,21612.27364327186,419.7566,0.0,0.0,419.7566
SOL,SLC,-1,2022-04-11 14:00:00+00:00,2022-04-11 21:30:00+00:00,103.07,99.19075409676728,TP,21447.730168199007,807.2283,0.0,0.0,807.2283
SOL,SLC,-1,2022-04-11 20:00:00+00:00,2022-04-12 12:00:00+00:00,101.37,106.23627429116098,SL,21774.261257588347,-1045.275,0.0,0.0,-1045.275
BTC,SLC,-1,2022-04-11 22:00:00+00:00,2022-04-12 12:30:00+00:00,39395.29,40535.48131711543,SL,21935.706914692502,-634.8704,0.0,0.0,-634.8704
BTC,SLC,-1,2022-04-11 21:00:00+00:00,2022-04-13 14:00:00+00:00,39838.26,40942.93334150893,SL,21774.261257588347,-603.7775,0.0,0.0,-603.7775
BTC,SLC,-1,2022-04-12 19:00:00+00:00,2022-04-13 14:00:00+00:00,39667.85,40670.33461065675,SL,21599.677837567604,-545.8664,0.0,0.0,-545.8664
BTC,SLC,-1,2022-04-11 20:00:00+00:00,2022-04-13 15:00:00+00:00,39985.34,41026.978213932685,SL,21774.261257588347,-567.2305,0.0,0.0,-567.2305
BTC,SLC,-1,2022-04-14 19:00:00+00:00,2022-04-15 14:30:00+00:00,39658.99,40482.103790348694,SL,21256.30297126762,-441.17,0.0,0.0,-441.17
BTC,SLC,-1,2022-04-16 10:00:00+00:00,2022-04-17 18:00:00+00:00,40328.8,39972.32127807266,TP,21168.06897384368,187.1111,0.0,0.0,187.1111
SOL,SLC,-1,2022-04-18 09:00:00+00:00,2022-04-18 14:00:00+00:00,95.47,99.13143586780012,SL,21205.491194060825,-813.2664,0.0,0.0,-813.2664
BTC,MR,1,2022-04-18 05:30:00+00:00,2022-04-18 17:00:00+00:00,38970.44,39794.099,TP,21205.491194060825,448.1883,0.0,0.0,448.1883
BTC,MR,-1,2022-04-18 19:00:00+00:00,2022-04-19 13:30:00+00:00,40646.01,41321.25823569313,SL,21132.47555998115,-351.0718,0.0,0.0,-351.0718
BTC,MR,-1,2022-04-18 19:30:00+00:00,2022-04-19 13:30:00+00:00,40602.76,41269.93193314362,SL,21132.47555998115,-347.2423,0.0,0.0,-347.2423
BTC,PBL,1,2022-04-21 17:30:00+00:00,2022-04-21 19:30:00+00:00,41924.94,41280.16720948226,SL,20992.81275107387,-322.853,0.0,0.0,-322.853
BTC,SLC,-1,2022-04-22 09:00:00+00:00,2022-04-22 15:00:00+00:00,40407.33,39717.03320065568,TP,20928.242142465595,357.5267,0.0,0.0,357.5267
BTC,SLC,-1,2022-04-22 10:00:00+00:00,2022-04-22 15:00:00+00:00,40298.26,39617.75154346599,TP,20928.242142465595,353.4109,0.0,0.0,353.4109
BTC,SLC,-1,2022-04-22 14:00:00+00:00,2022-04-22 15:00:00+00:00,40244.96,39558.54240714629,TP,20928.2421424656,356.9519,0.0,0.0,356.9519
ETH,SLC,-1,2022-04-22 15:00:00+00:00,2022-04-23 04:00:00+00:00,2972.79,2914.167667589257,TP,21141.82003897386,416.909,0.0,0.0,416.909
BTC,SLC,-1,2022-04-22 15:00:00+00:00,2022-04-24 16:30:00+00:00,39866.99,39137.67080663584,TP,21141.82003897386,386.7645,0.0,0.0,386.7645
SOL,SLC,-1,2022-04-22 10:00:00+00:00,2022-04-25 00:00:00+00:00,100.71,98.09045933230274,TP,20928.242142465595,544.3589,0.0,0.0,544.3589
SOL,SLC,-1,2022-04-22 15:00:00+00:00,2022-04-25 00:00:00+00:00,100.26,97.49297818035024,TP,21141.82003897386,583.4817,0.0,0.0,583.4817
ETH,SLC,-1,2022-04-23 04:00:00+00:00,2022-04-25 00:00:00+00:00,2946.31,2896.540332781065,TP,21225.201831975908,358.5404,0.0,0.0,358.5404
ETH,SLC,-1,2022-04-25 06:00:00+00:00,2022-04-25 07:00:00+00:00,2850.44,2804.93172570309,TP,21599.83092726041,344.8489,0.0,0.0,344.8489
ETH,SLC,-1,2022-04-25 07:00:00+00:00,2022-04-25 13:30:00+00:00,2820.99,2880.9192469517707,SL,21668.800702495435,-460.333,0.0,0.0,-460.333
BTC,SLC,-1,2022-04-25 08:00:00+00:00,2022-04-25 13:30:00+00:00,38453.92,39216.12679635764,SL,21668.800702495435,-429.5039,0.0,0.0,-429.5039
BTC,SLC,-1,2022-04-25 07:00:00+00:00,2022-04-25 14:30:00+00:00,38636.35,39365.71116530823,SL,21668.800702495435,-409.0547,0.0,0.0,-409.0547
SOL,SLC,-1,2022-04-25 07:00:00+00:00,2022-04-25 16:30:00+00:00,95.77,98.53876425800622,SL,21668.80070249544,-626.4571,0.0,0.0,-626.4571
ETH,SLC,-1,2022-04-26 19:00:00+00:00,2022-04-26 23:00:00+00:00,2856.59,2793.407797542907,TP,21283.730946268057,470.7546,0.0,0.0,470.7546
ETH,SLC,-1,2022-04-26 20:00:00+00:00,2022-04-26 23:00:00+00:00,2838.92,2772.5258120041276,TP,21283.730946268057,497.7654,0.0,0.0,497.7654
SOL,SLC,-1,2022-04-26 23:00:00+00:00,2022-04-27 08:00:00+00:00,96.36,99.57912117906247,SL,21477.434946162168,-717.5017,0.0,0.0,-717.5017
