symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,exit_type,size_usd,gross_pnl,entry_fee,exit_fee,net_pnl
BTC,MR,-1,2022-03-24 16:30:00+00:00,2022-03-25 11:30:00+00:00,43939.98,44505.63089064169,SL,20000.0,-257.4652,0.0,0.0,-257.4652
BTC,MR,-1,2022-03-25 13:30:00+00:00,2022-03-25 15:30:00+00:00,44829.77,44213.9795,TP,20000.0,274.7239,0.0,0.0,274.7239
BTC,PBL,1,2022-03-27 10:30:00+00:00,2022-03-27 16:30:00+00:00,44579.46,44949.95162786488,TP,20000.0,166.2163,0.0,0.0,166.2163
BTC,SLC,-1,2022-04-01 00:00:00+00:00,2022-04-01 02:30:00+00:00,45510.35,44431.97086166223,TP,20000.0,473.905,0.0,0.0,473.905
BTC,SLC,-1,2022-04-01 03:00:00+00:00,2022-04-01 13:00:00+00:00,44392.71,45420.74704049079,SL,20000.0,-463.1558,0.0,0.0,-463.1558
ETH,SLC,-1,2022-04-01 03:00:00+00:00,2022-04-01 13:00:00+00:00,3225.93,3315.0031488425043,SL,20000.0,-552.2324,0.0,0.0,-552.2324
BTC,SLC,-1,2022-04-01 02:00:00+00:00,2022-04-01 14:30:00+00:00,44923.77,45867.611812836236,SL,20000.0,-420.1971,0.0,0.0,-420.1971
BTC,MR,-1,2022-04-01 16:30:00+00:00,2022-04-02 00:30:00+00:00,46501.9,47127.24447394513,SL,20000.0,-268.9544,0.0,0.0,-268.9544
BTC,SLC,-1,2022-04-06 12:00:00+00:00,2022-04-06 14:00:00+00:00,44819.19,43817.55484998716,TP,20000.0,446.9671,0.0,0.0,446.9671
SOL,SLC,-1,2022-04-06 04:00:00+00:00,2022-04-06 15:00:00+00:00,123.7,116.3537422721161,TP,20000.0,1187.7539,0.0,0.0,1187.7539
SOL,SLC,-1,2022-04-06 11:00:00+00:00,2022-04-06 15:30:00+00:00,122.11,115.28886128731186,TP,20000.0,1117.2121,0.0,0.0,1117.2121
BTC,SLC,-1,2022-04-06 14:00:00+00:00,2022-04-07 00:30:00+00:00,44165.9,43057.50520228485,TP,20000.0,501.9233,0.0,0.0,501.9233
BTC,SLC,-1,2022-04-06 17:00:00+00:00,2022-04-08 18:00:00+00:00,43781.3,42488.16224833083,TP,20000.0,590.7261,0.0,0.0,590.7261
SOL,SLC,-1,2022-04-06 15:00:00+00:00,2022-04-08 23:00:00+00:00,117.61,109.97810540469894,TP,20000.0,1297.8309,0.0,0.0,1297.8309
SOL,SLC,-1,2022-04-06 17:00:00+00:00,2022-04-08 23:00:00+00:00,116.18,108.15693782343939,TP,20000.0,1381.1434,0.0,0.0,1381.1434
SOL,SLC,-1,2022-04-09 00:00:00+00:00,2022-04-10 18:00:00+00:00,109.92,115.56355436248015,SL,20000.0,-1026.8476,0.0,0.0,-1026.8476
BTC,SLC,-1,2022-04-07 01:00:00+00:00,2022-04-11 09:30:00+00:00,42894.3,41458.27861559781,TP,20000.0,669.5628,0.0,0.0,669.5628
SOL,SLC,-1,2022-04-08 20:00:00+00:00,2022-04-11 09:30:00+00:00,113.56,106.63072051864974,TP,20000.0,1220.3733,0.0,0.0,1220.3733
SOL,SLC,-1,2022-04-08 23:00:00+00:00,2022-04-11 11:30:00+00:00,110.55,103.8744835931026,TP,20000.0,1207.6918,0.0,0.0,1207.6918
BTC,SLC,-1,2022-04-11 03:00:00+00:00,2022-04-11 12:00:00+00:00,41929.33,40954.80509493544,TP,20000.0,464.8416,0.0,0.0,464.8416
ETH,SLC,-1,2022-04-11 10:00:00+00:00,2022-04-11 16:00:00+00:00,3080.81,2991.652590169581,TP,20000.0,578.792,0.0,0.0,578.792
BTC,SLC,-1,2022-04-11 10:00:00+00:00,2022-04-11 17:00:00+00:00,41416.22,40447.918444731265,TP,20000.0,467.5953,0.0,0.0,467.5953
BTC,SLC,-1,2022-04-11 12:00:00+00:00,2022-04-11 19:00:00+00:00,41067.64,40012.301567140734,TP,20000.0,513.9513,0.0,0.0,513.9513
ETH,SLC,-1,2022-04-11 12:00:00+00:00,2022-04-11 21:30:00+00:00,3051.57,2957.2439680543835,TP,20000.0,618.2131,0.0,0.0,618.2131
BTC,SLC,-1,2022-04-11 16:00:00+00:00,2022-04-11 21:30:00+00:00,40581.52,39455.420699424896,TP,20000.0,554.9813,0.0,0.0,554.9813
BTC,SLC,-1,2022-04-11 18:00:00+00:00,2022-04-11 21:30:00+00:00,40459.07,39280.36733776942,TP,20000.0,582.6642,0.0,0.0,582.6642
SOL,SLC,-1,2022-04-11 22:00:00+00:00,2022-04-12 11:00:00+00:00,98.53,103.74584364901125,SL,20000.0,-1058.7321,0.0,0.0,-1058.7321
BTC,SLC,-1,2022-04-11 22:00:00+00:00,2022-04-12 12:30:00+00:00,39395.29,40535.48131711543,SL,20000.0,-578.8465,0.0,0.0,-578.8465
