symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,exit_type,size_usd,gross_pnl,entry_fee,exit_fee,net_pnl
BTC,PBL,1,2022-03-27 10:30:00+00:00,2022-03-27 16:30:00+00:00,44579.46,44949.95162786488,TP,40000.0,332.4326,0.0,0.0,332.4326
BTC,SLC,-1,2022-04-01 00:00:00+00:00,2022-04-01 02:00:00+00:00,45510.35,44791.42724110815,TP,40132.97303390033,633.9768,0.0,0.0,633.9768
BTC,SLC,-1,2022-04-01 03:00:00+00:00,2022-04-01 13:00:00+00:00,44392.71,45420.74704049079,SL,40386.56376828109,-935.2635,0.0,0.0,-935.2635
BTC,SLC,-1,2022-04-01 02:00:00+00:00,2022-04-01 14:30:00+00:00,44923.77,45867.611812836236,SL,40386.56376828109,-848.5158,0.0,0.0,-848.5158
SOL,SLC,-1,2022-04-06 04:00:00+00:00,2022-04-06 13:30:00+00:00,123.7,118.79916151474406,TP,39673.052038402675,1571.7964,0.0,0.0,1571.7964
SOL,SLC,-1,2022-04-06 11:00:00+00:00,2022-04-06 14:00:00+00:00,122.11,117.55924085820791,TP,39673.052038402675,1478.5235,0.0,0.0,1478.5235
BTC,SLC,-1,2022-04-06 14:00:00+00:00,2022-04-06 17:00:00+00:00,44165.9,43426.970134856565,TP,40893.18001532915,684.1747,0.0,0.0,684.1747
SOL,SLC,-1,2022-04-06 14:00:00+00:00,2022-04-06 23:30:00+00:00,119.1,114.05325516234797,TP,40893.18001532915,1732.8081,0.0,0.0,1732.8081
BTC,SLC,-1,2022-04-06 17:00:00+00:00,2022-04-07 00:30:00+00:00,43781.3,42919.20816555389,TP,41166.849900865396,810.611,0.0,0.0,810.611
BTC,SLC,-1,2022-04-07 00:00:00+00:00,2022-04-08 22:00:00+00:00,43170.47,42267.4402881215,TP,41859.973142301285,875.617,0.0,0.0,875.617
BTC,SLC,-1,2022-04-07 01:00:00+00:00,2022-04-10 22:30:00+00:00,42894.3,41936.95241039854,TP,42184.217558519216,941.4994,0.0,0.0,941.4994
SOL,SLC,-1,2022-04-08 22:00:00+00:00,2022-04-11 09:00:00+00:00,111.8,107.28680873350955,TP,42534.46437756876,1717.0498,0.0,0.0,1717.0498
