symbol,direction,model,entry_ts,exit_ts,entry_price,exit_price,size_usdt,pnl,r_value,exit_reason,bars_held
BTC/USDT,long,pullback_long,2022-03-26 16:30:00+00:00,2022-03-26 20:00:00+00:00,44247.81,44637.4900959,35000.0,308.2368,1.2,tp,7
BTC/USDT,long,pullback_long,2022-03-27 10:30:00+00:00,2022-03-27 16:30:00+00:00,44579.46,44949.95162289,35107.88,291.7751,1.1999,tp,12
ETH/USDT,long,pullback_long,2022-03-25 16:30:00+00:00,2022-03-27 20:30:00+00:00,3127.13,3193.92941068,35000.0,747.6438,1.1996,tp,104
SOL/USDT,long,pullback_long,2022-03-29 01:30:00+00:00,2022-03-29 11:30:00+00:00,108.65,113.49863591,35471.68,1582.9661,1.2,tp,20
ETH/USDT,long,pullback_long,2022-03-29 21:30:00+00:00,2022-03-30 01:30:00+00:00,3399.6,3336.06007872,36025.72,-673.3355,-1.0,sl,8
SOL/USDT,long,pullback_long,2022-03-29 17:00:00+00:00,2022-03-30 13:00:00+00:00,110.89,115.60750971,36025.72,1532.6151,1.2056,tp,40
BTC/USDT,short,swing_low_continuation,2022-03-31 23:30:00+00:00,2022-04-01 02:00:00+00:00,45674.49,44791.42725905,36326.47,702.3297,1.2023,tp,5
SOL/USDT,long,pullback_long,2022-03-31 18:30:00+00:00,2022-04-01 02:30:00+00:00,123.71,117.66250217,36326.47,-1775.8002,-1.0,sl,16
BTC/USDT,short,swing_low_continuation,2022-04-01 02:30:00+00:00,2022-04-01 13:00:00+00:00,44641.58,45420.74702254,36572.28,-638.3267,-1.0,sl,21
ETH/USDT,short,swing_low_continuation,2022-04-01 02:30:00+00:00,2022-04-01 13:00:00+00:00,3238.15,3315.0031484,36572.28,-867.994,-1.0,sl,21
ETH/USDT,long,pullback_long,2022-04-04 02:30:00+00:00,2022-04-04 15:00:00+00:00,3488.03,3427.4440302,35423.54,-615.2956,-1.0,sl,25
SOL/USDT,short,swing_low_continuation,2022-04-06 03:30:00+00:00,2022-04-06 13:30:00+00:00,123.81,118.79916151,35208.19,1424.9459,0.836,tp,20
BTC/USDT,short,swing_low_continuation,2022-04-06 11:30:00+00:00,2022-04-06 13:30:00+00:00,44716.0,44151.43323333,35208.19,444.5249,0.602,tp,4
ETH/USDT,short,swing_low_continuation,2022-04-06 11:30:00+00:00,2022-04-06 14:00:00+00:00,3287.98,3235.86631416,35208.19,558.0413,0.5071,tp,5
BTC/USDT,short,swing_low_continuation,2022-04-06 14:00:00+00:00,2022-04-06 17:00:00+00:00,44165.9,43426.97013486,35862.5,600.0075,0.8,tp,6
SOL/USDT,short,swing_low_continuation,2022-04-06 14:00:00+00:00,2022-04-06 23:30:00+00:00,119.1,114.05325516,35862.5,1519.638,0.8029,tp,19
BTC/USDT,short,swing_low_continuation,2022-04-06 19:30:00+00:00,2022-04-07 00:30:00+00:00,43668.87,42784.52381914,36267.82,734.4662,0.6812,tp,10
SOL/USDT,short,swing_low_continuation,2022-04-07 00:00:00+00:00,2022-04-08 00:00:00+00:00,112.94,120.16483432,36799.69,-2354.0965,-1.0,sl,48
ETH/USDT,short,swing_low_continuation,2022-04-07 00:00:00+00:00,2022-04-08 07:30:00+00:00,3168.52,3280.12581333,36799.69,-1296.2075,-1.0,sl,63
SOL/USDT,short,swing_low_continuation,2022-04-08 19:30:00+00:00,2022-04-08 23:00:00+00:00,114.42,108.94381368,35779.15,1712.4042,1.1102,tp,7
BTC/USDT,short,swing_low_continuation,2022-04-09 02:30:00+00:00,2022-04-10 17:00:00+00:00,42371.97,43101.29798913,36378.49,-626.1652,-1.0,sl,77
SOL/USDT,short,swing_low_continuation,2022-04-08 23:30:00+00:00,2022-04-10 18:00:00+00:00,108.14,115.56355436,36378.49,-2497.297,-1.0,sl,85
ETH/USDT,short,swing_low_continuation,2022-04-11 08:30:00+00:00,2022-04-11 09:30:00+00:00,3161.85,3110.48493653,35285.28,573.2184,0.8204,tp,2
BTC/USDT,short,swing_low_continuation,2022-04-11 02:30:00+00:00,2022-04-11 10:00:00+00:00,42006.06,41279.65006329,35285.28,610.1876,0.9878,tp,15
ETH/USDT,short,swing_low_continuation,2022-04-11 10:00:00+00:00,2022-04-11 13:30:00+00:00,3080.81,3021.37172678,35485.9,684.6318,0.8,tp,7
ETH/USDT,short,swing_low_continuation,2022-04-11 14:00:00+00:00,2022-04-11 16:30:00+00:00,3047.92,2982.65949184,35939.09,769.5095,0.8,tp,5
BTC/USDT,short,swing_low_continuation,2022-04-11 11:30:00+00:00,2022-04-11 17:00:00+00:00,41156.51,40364.07771143,35699.47,687.3618,1.0024,tp,11
BTC/USDT,short,swing_low_continuation,2022-04-11 17:30:00+00:00,2022-04-11 20:00:00+00:00,40494.51,39673.26822518,36448.99,739.1973,0.8674,tp,5
SOL/USDT,short,swing_low_continuation,2022-04-11 14:00:00+00:00,2022-04-11 21:30:00+00:00,103.07,99.1907541,35939.09,1352.6396,0.7963,tp,15
ETH/USDT,short,swing_low_continuation,2022-04-11 20:30:00+00:00,2022-04-13 13:30:00+00:00,3008.59,3086.51803683,36707.71,-950.7975,-1.0,sl,82
BTC/USDT,short,swing_low_continuation,2022-04-11 20:30:00+00:00,2022-04-13 14:00:00+00:00,40097.39,40942.93334151,36707.71,-774.0643,-1.0,sl,83
BTC/USDT,short,swing_low_continuation,2022-04-14 18:30:00+00:00,2022-04-15 14:30:00+00:00,39924.67,40482.10379035,36577.44,-510.6993,-1.0,sl,40
BTC/USDT,short,swing_low_continuation,2022-04-16 09:30:00+00:00,2022-04-17 18:00:00+00:00,40394.99,39972.32127807,36398.69,380.8539,1.1141,tp,65
SOL/USDT,short,swing_low_continuation,2022-04-18 08:30:00+00:00,2022-04-18 14:00:00+00:00,96.2,99.13143587,36531.99,-1113.214,-1.0,sl,11
BTC/USDT,long,pullback_long,2022-04-21 17:30:00+00:00,2022-04-21 19:30:00+00:00,41924.94,41280.16720948,36142.37,-555.8414,-1.0,sl,4
SOL/USDT,long,pullback_long,2022-04-21 17:30:00+00:00,2022-04-21 20:00:00+00:00,106.85,103.99663856,36142.37,-965.1591,-1.0,sl,5
BTC/USDT,short,swing_low_continuation,2022-04-22 08:30:00+00:00,2022-04-22 15:00:00+00:00,40465.93,39717.03320066,35610.02,659.0292,0.9311,tp,13
SOL/USDT,short,swing_low_continuation,2022-04-22 09:30:00+00:00,2022-04-25 00:00:00+00:00,101.48,98.09045933,35610.02,1189.4128,1.3414,tp,125
ETH/USDT,short,swing_low_continuation,2022-04-22 15:30:00+00:00,2022-04-25 00:00:00+00:00,2970.81,2888.81426276,35840.68,989.2194,1.5014,tp,113
BTC/USDT,short,swing_low_continuation,2022-04-22 15:30:00+00:00,2022-04-25 06:30:00+00:00,39797.99,38657.4114633,35840.68,1027.1652,1.8826,tp,126
ETH/USDT,short,swing_low_continuation,2022-04-25 05:30:00+00:00,2022-04-25 07:00:00+00:00,2866.99,2804.9317257,36603.2,792.3053,1.5386,tp,3
BTC/USDT,short,swing_low_continuation,2022-04-25 07:00:00+00:00,2022-04-25 14:30:00+00:00,38636.35,39365.71116531,36962.7,-697.7667,-1.0,sl,15
SOL/USDT,short,swing_low_continuation,2022-04-25 07:00:00+00:00,2022-04-25 16:30:00+00:00,95.77,98.53876426,36962.7,-1068.6123,-1.0,sl,19
ETH/USDT,short,swing_low_continuation,2022-04-26 18:30:00+00:00,2022-04-26 23:00:00+00:00,2856.63,2793.40779754,36621.78,810.5038,0.8011,tp,9
SOL/USDT,short,swing_low_continuation,2022-04-26 23:30:00+00:00,2022-04-27 07:30:00+00:00,94.93,99.02311252,36905.46,-1591.2588,-1.0,sl,16
ETH/USDT,short,swing_low_continuation,2022-04-26 23:30:00+00:00,2022-04-27 08:00:00+00:00,2786.76,2898.34761002,36905.46,-1477.7706,-1.0,sl,17
BTC/USDT,short,swing_low_continuation,2022-04-26 17:30:00+00:00,2022-04-27 13:30:00+00:00,38255.04,39445.7762169,36621.78,-1139.8989,-1.0,sl,40
ETH/USDT,short,swing_low_continuation,2022-04-27 14:30:00+00:00,2022-04-28 07:30:00+00:00,2830.0,2934.69566027,35432.33,-1310.8167,-1.0,sl,34
SOL/USDT,short,swing_low_continuation,2022-04-29 19:30:00+00:00,2022-04-30 17:30:00+00:00,93.49,90.45243855,34973.54,1136.317,1.1973,tp,44
SOL/USDT,short,swing_low_continuation,2022-04-30 18:00:00+00:00,2022-04-30 22:00:00+00:00,90.54,88.48493976,35371.26,802.8503,0.8071,tp,8
ETH/USDT,short,swing_low_continuation,2022-04-29 19:30:00+00:00,2022-04-30 23:00:00+00:00,2788.89,2727.25142752,34973.54,772.9667,0.715,tp,55
BTC/USDT,short,swing_low_continuation,2022-04-30 22:30:00+00:00,2022-04-30 23:00:00+00:00,38318.43,37828.89537248,35652.25,455.473,1.0667,tp,1
SOL/USDT,short,swing_low_continuation,2022-04-30 23:30:00+00:00,2022-05-01 03:30:00+00:00,84.59,88.33956539,36082.21,-1599.3924,-1.0,sl,8
